Channel	x	y	
0	8	0
1	7	0
2	6	0
3	5	0
4	9	1
5	8	1
6	7	1
7	6	1
8	5	1
9	9	2
10	8	2
11	7	2
12	6	2
13	5	2
14	9	3
15	8	3
16	9	6
17	8	6
18	6	7
19	5	7
20	8	7
21	7	7
22	5	8
23	9	7
24	7	8
25	6	8
26	9	8
27	8	8
28	6	9
29	5	9
30	8	9
31	7	9
32	9	5
33	9	4
34	8	4
35	8	5
36	7	6
37	7	5
38	7	4
39	7	3
40	6	6
41	6	5
42	6	4
43	6	3
44	5	6
45	5	5
46	5	4
47	5	3
48	4	4
49	4	3
50	4	6
51	4	5
52	3	4
53	3	3
54	3	6
55	3	5
56	2	4
57	2	3
58	2	6
59	2	5
60	1	4
61	1	5
62	0	4
63	0	5
64	1	9
65	2	9
66	3	9
67	4	9
68	0	8
69	1	8
70	2	8
71	3	8
72	4	8
73	0	7
74	1	7
75	2	7
76	3	7
77	4	7
78	0	6
79	1	6
80	0	3
81	1	3
82	3	2
83	4	2
84	1	2
85	2	2
86	4	1
87	0	2
88	2	1
89	3	1
90	0	1
91	1	1
92	3	0
93	4	0
94	1	0
95	2	0




